job,trial,harness,model,retry_attempt,status,group,requests,token_matched_requests,spend_usd
acceptance-cliproxy-codex,anko-default-function-arguments__kwL5Nog,codex,deepseek-v4-flash,False,not published: acceptance-cliproxy-codex,other benchmark overhead,84,80,0.185302
acceptance-ds4,anko-default-function-arguments__pu8Cx5V,claude-code,deepseek-v4-flash,False,not published: acceptance-ds4,other benchmark overhead,200,170,0.754463
acceptance-kimi,anko-default-function-arguments__Rs3xgse,claude-code,kimi-k3,False,not published: acceptance-kimi,other benchmark overhead,358,324,20.182738
acceptance-kimi,anko-default-function-arguments__URozMXA,pi,kimi-k3,False,not published: acceptance-kimi,other benchmark overhead,66,66,4.215703
acceptance-kimi,anko-default-function-arguments__qjkhgpn,codex,kimi-k3,False,not published: acceptance-kimi,other benchmark overhead,113,113,6.967063
deepseek-claude-code-cliproxy-api,boa-hierarchical-evaluation-canc__qf9FKcM,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,237,237,0.771014
deepseek-claude-code-cliproxy-api,csstree-shorthand-expansion-comp__WfV6FgJ,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,155,155,0.500696
deepseek-claude-code-cliproxy-api,effect-sse-httpapi-streaming__9MuKNoF,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,300,300,0.752115
deepseek-claude-code-cliproxy-api,expr-try-catch-errors__VJ35eLZ,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,482,482,1.588077
deepseek-claude-code-cliproxy-api,fastapi-implicit-head-options__GtXaFbq,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,347,347,0.825198
deepseek-claude-code-cliproxy-api,katex-multicolumn-array-spans__NRfmJMa,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,260,258,1.193909
deepseek-claude-code-cliproxy-api,koota-composite-trait-aspects__Ys4DVrM,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,394,394,1.205015
deepseek-claude-code-cliproxy-api,oxvg-structural-selector-preserv__e6KqwSa,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,264,264,1.269538
deepseek-claude-code-cliproxy-api,python-statemachine-state-data-s__zEygVNE,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,237,237,0.596402
deepseek-claude-code-cliproxy-api,scriggo-method-declarations__C4Q8qxa,claude-code,deepseek-v4p1-flash,False,excluded: deepseek-v4p1-flash/claude-code-cliproxy-default,other benchmark overhead,898,892,3.093292
deepseek-claude-code-cliproxy-api-fixed-thinking,boa-hierarchical-evaluation-canc__5TfvMLo,claude-code,deepseek-v4p1-flash,False,canonical,canonical,143,143,0.427353
deepseek-claude-code-cliproxy-api-fixed-thinking,csstree-shorthand-expansion-comp__yAKg7e2,claude-code,deepseek-v4p1-flash,False,canonical,canonical,93,93,0.334156
deepseek-claude-code-cliproxy-api-fixed-thinking,effect-sse-httpapi-streaming__Ju8U9Ai,claude-code,deepseek-v4p1-flash,False,canonical,canonical,189,189,0.598722
deepseek-claude-code-cliproxy-api-fixed-thinking,expr-try-catch-errors__4Pk8ZJR,claude-code,deepseek-v4p1-flash,False,canonical,canonical,132,132,0.530007
deepseek-claude-code-cliproxy-api-fixed-thinking,fastapi-implicit-head-options__neJ8x56,claude-code,deepseek-v4p1-flash,False,canonical,canonical,122,122,0.393230
deepseek-claude-code-cliproxy-api-fixed-thinking,katex-multicolumn-array-spans__bvBmz5k,claude-code,deepseek-v4p1-flash,False,canonical,canonical,163,163,0.519933
deepseek-claude-code-cliproxy-api-fixed-thinking,koota-composite-trait-aspects__FeQidMz,claude-code,deepseek-v4p1-flash,False,canonical,canonical,164,164,0.561803
deepseek-claude-code-cliproxy-api-fixed-thinking,oxvg-structural-selector-preserv__gtjAN56,claude-code,deepseek-v4p1-flash,False,canonical,canonical,334,333,1.148552
deepseek-claude-code-cliproxy-api-fixed-thinking,python-statemachine-state-data-s__C5Ekyuf,claude-code,deepseek-v4p1-flash,False,canonical,canonical,166,166,0.617890
